stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1361,1361,WHITE PLAINS POST RD @ HALL AVE,,40.952289,-73.816109,,,,,,0
1362,1362,WHITE PLAINS POST RD @ HIGHLAND AVE,,40.950106,-73.817609,,,,,,0
1363,1363,WHITE PLAINS POST RD @ GIFFORD ST,WHITE PLAINS POST RD & WINTER HILL RD,40.945727,-73.820621,,,,,,0
1364,1364,N COLUMBUS AVE @ LOCUST LA,,40.929625,-73.820902,,,,,,0
1365,1365,N COLUMBUS AVE @ CALIFORNIA RD,,40.92618,-73.82113,,,,,,0
1366,1366,N COLUMBUS AVE @ E DEVONIA AVE,,40.925033,-73.821383,,,,,,0
1367,1367,N COLUMBUS AVE @ SOUTH PARKWAY,N COLUMBUS AVE & S PARKWAY,40.922926,-73.82309,,,,,,0
1368,1368,N COLUMBUS AVE @ ELLWOOD AVE,,40.920302,-73.824639,,,,,,0
1369,1369,N COLUMBUS AVE @ E LINCOLN AVE,,40.918636,-73.825362,,,,,,0
1370,1370,HILLSIDE AVE @ MCLEAN AVE,,41.041864,-73.790851,,,,,,0
1371,1371,HILLSIDE AVE @ FLORENCE AVE,,41.043612,-73.790514,,,,,,0
1372,1372,HILLSIDE AVE @ OLD TARRYTOWN RD,,41.047654,-73.789898,,,,,,0
1374,1374,HILLSIDE AVE @ SOUTH RD,,41.052684,-73.789026,,,,,,0
1375,1375,HILLSIDE AVE @ NORTH RD,,41.05365,-73.788722,,,,,,0
1377,1377,HILLSIDE AVE @ LAWRENCE DR,,41.062705,-73.780555,,,,,,0
1378,1378,GRASSLANDS RD @ LEGION DR,,41.069103,-73.780416,,,,,,0
1379,1379,WESTCHESTER COMM COLLEGE LOT 11,,41.067688,-73.786721,,,,,,0
1380,1380,WESTCHESTER COMM COLLEGE LOT 8,,41.065253,-73.787437,,,,,,0
1381,1381,WESTCHESTER COMM  COLLEGE LOT 7,COMMUNITY COLLEGE MAIN RD & COMMUNITY COLLEGE WEST RD,41.065042,-73.790391,,,,,,0
1382,1382,WESTCHESTER COMM  COLLEGE LOT 4,,41.066497,-73.792101,,,,,,0
1387,1387,GRASSLANDS RD @ LEGION DR,,41.069075,-73.780555,,,,,,0
1388,1388,HILLSIDE AVE @ LAWRENCE DR,,41.062316,-73.780881,,,,,,0
1390,1390,HILLSIDE AVE @ NORTH RD,,41.053598,-73.788896,,,,,,0
1391,1391,HILLSIDE AVE @ SOUTH RD,,41.051968,-73.789378,,,,,,0
1392,1392,HILLSIDE AVE @ INDIAN TRAIL,,41.04878,-73.789925,,,,,,0
1393,1393,HILLSIDE AVE @ OLD TARRYTOWN RD,,41.046945,-73.790256,,,,,,0
1394,1394,HILLSIDE AVE @ FLORENCE AVE,,41.043582,-73.790742,,,,,,0
1395,1395,HILLSIDE AVE @ TARRYTOWN RD,,41.041994,-73.791018,,,,,,0
1399,1399,HARTSDALE RAILROAD STATION,,41.011357,-73.795737,,,,,,0
